method,NQ,TriviaQA,PopQA,HotpotQA,2wiki,Musique,Bamboogle,Avg
Qwen2.5-7b / Search-R1-base (GRPO),0.395,0.560,0.388,0.326,0.297,0.125,0.360,0.350
Qwen2.5-7b / Search-R1-instruct (GRPO),0.429,0.623,0.427,0.386,0.346,0.162,0.400,0.396
Qwen2.5-7b / Search-R1-base (PPO),0.480,0.638,0.457,0.433,0.382,0.196,0.432,0.431
Qwen2.5-7b / Search-R1-instruct (PPO),0.393,0.610,0.397,0.370,0.414,0.146,0.368,0.385
Qwen2.5-3b / Search-R1-base (GRPO),0.421,0.583,0.413,0.297,0.274,0.066,0.128,0.312
Qwen2.5-3b / Search-R1-instruct (GRPO),0.397,0.565,0.391,0.331,0.310,0.124,0.232,0.336
Qwen2.5-3b / Search-R1-base (PPO),0.406,0.587,0.435,0.284,0.273,0.049,0.088,0.303
Qwen2.5-3b / Search-R1-instruct (PPO),0.341,0.545,0.378,0.324,0.319,0.103,0.264,0.325
